question,weightage_1,weightage_2,weightage_3,weightage_4,weightage_5,average_percent
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,3,4,4.57 / 91.43
The overall quality of the teaching-learning process in your institute is very good.,0,0,1,5,1,4.00 / 80.00
How much of the syllabus was covered in the class?,0,0,1,2,0,3.67 / 73.33
How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33
How well were the teachers able to communicate?,0,0,3,0,0,3.00 / 60.00
The teachers approach to teaching can best be described as,0,1,2,0,0,2.67 / 53.33
Fairness of the internal evaluation process by the teachers.,0,0,0,3,0,4.00 / 80.00
Was your performance in assignments discussed with you?,0,0,0,3,0,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,1,1,0,0,2.00 / 40.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,2,1,0,3.33 / 66.67
The institution provides multiple opportunities to learn and grow.,0,0,2,1,0,3.33 / 66.67
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,0,4.00 / 80.00
Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,2,0,3.67 / 73.33
The teachers illustrate the concepts through examples and applications.,0,0,1,2,0,3.67 / 73.33
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,3,0,0,0,2.00 / 40.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,1,1,1,0,3.00 / 60.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,2,1,0,3.33 / 66.67
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,2,0,3.67 / 73.33
Teachers encourage you to participate in extracurricular activities.,0,0,1,2,0,3.67 / 73.33
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,1,1,0,3.00 / 60.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,2,1,4.33 / 86.67
The overall quality of the teaching-learning process in your institute is very good.,0,0,2,1,0,3.33 / 66.67
How much of the syllabus was covered in the class?,0,0,1,0,5,4.67 / 93.33
How well did the teachers prepare for the classes?,0,0,0,3,3,4.50 / 90.00
How well were the teachers able to communicate?,0,1,1,0,4,4.17 / 83.33
The teachers approach to teaching can best be described as,0,0,2,1,3,4.17 / 83.33
Fairness of the internal evaluation process by the teachers.,0,0,1,1,4,4.50 / 90.00
Was your performance in assignments discussed with you?,0,1,0,3,2,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,0,2,1,2,3.50 / 70.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,1,2,3.00 / 60.00
The institution provides multiple opportunities to learn and grow.,0,0,1,3,2,4.17 / 83.33
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,3,4.50 / 90.00
Your mentor does a necessary follow-up with an assigned task to you.,1,0,1,3,1,3.50 / 70.00
The teachers illustrate the concepts through examples and applications.,0,0,0,3,3,4.50 / 90.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,2,4,4.67 / 93.33
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,2,1,3,4.17 / 83.33
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,4,2,4.33 / 86.67
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,3,2,4.17 / 83.33
Teachers encourage you to participate in extracurricular activities.,0,0,0,4,2,4.33 / 86.67
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,1,4,4.50 / 90.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,3,3,4.50 / 90.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,1,2,3,4.33 / 86.67
How much of the syllabus was covered in the class?,1,3,4,3,3,3.29 / 65.71
How well did the teachers prepare for the classes?,0,2,3,6,3,3.71 / 74.29
How well were the teachers able to communicate?,0,1,2,7,4,4.00 / 80.00
The teachers approach to teaching can best be described as,0,3,4,4,3,3.50 / 70.00
Fairness of the internal evaluation process by the teachers.,0,0,3,6,5,4.14 / 82.86
Was your performance in assignments discussed with you?,1,0,5,5,3,3.64 / 72.86
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,2,4,4,4,3.71 / 74.29
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,7,5,1,3.43 / 68.57
The institution provides multiple opportunities to learn and grow.,0,1,8,2,3,3.50 / 70.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,4,3,4,3.57 / 71.43
Your mentor does a necessary follow-up with an assigned task to you.,0,0,4,5,5,4.07 / 81.43
The teachers illustrate the concepts through examples and applications.,1,1,3,4,5,3.79 / 75.71
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,5,3,4,3.64 / 72.86
Teachers are able to identify your weaknesses and help you to overcome them.,0,1,5,4,4,3.79 / 75.71
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,7,4,3,3.71 / 74.29
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,4,5,4,3.86 / 77.14
Teachers encourage you to participate in extracurricular activities.,0,1,7,3,3,3.57 / 71.43
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,2,3,5,4,3.79 / 75.71
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,0,6,5,2,3.50 / 70.00
The overall quality of the teaching-learning process in your institute is very good.,0,1,7,2,4,3.64 / 72.86
How much of the syllabus was covered in the class?,1,1,1,6,8,4.12 / 82.35
How well did the teachers prepare for the classes?,0,1,1,9,6,4.18 / 83.53
How well were the teachers able to communicate?,0,0,4,8,5,4.06 / 81.18
The teachers approach to teaching can best be described as,1,0,3,9,4,3.88 / 77.65
Fairness of the internal evaluation process by the teachers.,0,0,1,8,8,4.41 / 88.24
Was your performance in assignments discussed with you?,2,1,3,4,7,3.76 / 75.29
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,0,2,10,4,3.94 / 78.82
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,2,1,7,6,3.88 / 77.65
The institution provides multiple opportunities to learn and grow.,1,0,3,7,6,4.00 / 80.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,8,8,4.41 / 88.24
Your mentor does a necessary follow-up with an assigned task to you.,1,2,3,5,6,3.76 / 75.29
The teachers illustrate the concepts through examples and applications.,1,0,1,7,8,4.24 / 84.71
The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,1,6,7,3.88 / 77.65
Teachers are able to identify your weaknesses and help you to overcome them.,1,2,3,5,6,3.76 / 75.29
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,2,8,5,3.94 / 78.82
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,0,3,8,5,3.94 / 78.82
Teachers encourage you to participate in extracurricular activities.,0,1,4,7,5,3.94 / 78.82
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,3,8,5,4.00 / 80.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,3,4,7,2,3.35 / 67.06
The overall quality of the teaching-learning process in your institute is very good.,0,0,4,9,4,4.00 / 80.00
How much of the syllabus was covered in the class?,0,1,0,1,0,3.00 / 60.00
How well did the teachers prepare for the classes?,0,0,0,1,1,4.50 / 90.00
How well were the teachers able to communicate?,0,0,0,1,1,4.50 / 90.00
The teachers approach to teaching can best be described as,0,1,0,0,1,3.50 / 70.00
Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00
Was your performance in assignments discussed with you?,0,1,0,1,0,3.00 / 60.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,1,0,0,2.50 / 50.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,1,0,3.00 / 60.00
The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,3.50 / 70.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,0,1,3.50 / 70.00
Your mentor does a necessary follow-up with an assigned task to you.,0,1,1,0,0,2.50 / 50.00
The teachers illustrate the concepts through examples and applications.,0,0,1,0,1,4.00 / 80.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,1,3.50 / 70.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,1,0,1,0,3.00 / 60.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,1,0,3.50 / 70.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,1,0,0,2.50 / 50.00
Teachers encourage you to participate in extracurricular activities.,0,0,1,0,1,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,1,0,3.50 / 70.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,0,1,0,3.00 / 60.00
The overall quality of the teaching-learning process in your institute is very good.,0,0,1,1,0,3.50 / 70.00
How much of the syllabus was covered in the class?,0,3,2,8,33,4.54 / 90.87
How well did the teachers prepare for the classes?,1,2,3,27,13,4.07 / 81.30
How well were the teachers able to communicate?,0,0,5,16,25,4.43 / 88.70
The teachers approach to teaching can best be described as,0,1,7,24,14,4.11 / 82.17
Fairness of the internal evaluation process by the teachers.,1,0,4,17,24,4.37 / 87.39
Was your performance in assignments discussed with you?,0,2,5,19,20,4.24 / 84.78
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,3,8,12,21,4.02 / 80.43
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,2,9,21,14,4.02 / 80.43
The institution provides multiple opportunities to learn and grow.,0,2,2,24,18,4.26 / 85.22
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,1,3,24,17,4.20 / 83.91
Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,30,13,4.20 / 83.91
The teachers illustrate the concepts through examples and applications.,0,2,4,19,21,4.28 / 85.65
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,6,18,19,4.13 / 82.61
Teachers are able to identify your weaknesses and help you to overcome them.,1,7,6,16,16,3.85 / 76.96
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,2,3,27,13,4.07 / 81.30
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,5,5,19,17,4.04 / 80.87
Teachers encourage you to participate in extracurricular activities.,1,1,3,19,22,4.30 / 86.09
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",1,3,1,25,16,4.13 / 82.61
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",10,2,10,13,11,3.28 / 65.65
The overall quality of the teaching-learning process in your institute is very good.,2,1,6,18,19,4.11 / 82.17
How much of the syllabus was covered in the class?,0,3,12,14,8,3.73 / 74.59
How well did the teachers prepare for the classes?,1,3,5,20,8,3.84 / 76.76
How well were the teachers able to communicate?,2,1,5,13,16,4.08 / 81.62
The teachers approach to teaching can best be described as,0,2,16,13,6,3.62 / 72.43
Fairness of the internal evaluation process by the teachers.,1,4,4,14,14,3.97 / 79.46
Was your performance in assignments discussed with you?,2,6,5,9,15,3.78 / 75.68
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,4,13,6,13,3.70 / 74.05
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,4,7,17,7,3.62 / 72.43
The institution provides multiple opportunities to learn and grow.,0,4,12,15,6,3.62 / 72.43
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",3,3,2,13,16,3.97 / 79.46
Your mentor does a necessary follow-up with an assigned task to you.,3,4,6,10,14,3.76 / 75.14
The teachers illustrate the concepts through examples and applications.,2,7,4,10,14,3.73 / 74.59
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,3,8,12,13,3.89 / 77.84
Teachers are able to identify your weaknesses and help you to overcome them.,2,6,7,11,11,3.62 / 72.43
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",2,5,7,14,9,3.62 / 72.43
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,7,5,16,8,3.62 / 72.43
Teachers encourage you to participate in extracurricular activities.,1,4,8,15,9,3.73 / 74.59
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",4,6,3,14,10,3.54 / 70.81
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",9,8,9,7,4,2.70 / 54.05
The overall quality of the teaching-learning process in your institute is very good.,1,2,8,16,10,3.86 / 77.30
How much of the syllabus was covered in the class?,0,0,1,4,2,4.14 / 82.86
How well did the teachers prepare for the classes?,0,0,0,3,4,4.57 / 91.43
How well were the teachers able to communicate?,0,0,2,2,3,4.14 / 82.86
The teachers approach to teaching can best be described as,0,0,1,3,3,4.29 / 85.71
Fairness of the internal evaluation process by the teachers.,0,0,1,2,4,4.43 / 88.57
Was your performance in assignments discussed with you?,0,0,1,1,5,4.57 / 91.43
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,3,3,4.29 / 85.71
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,1,4,2,4.14 / 82.86
The institution provides multiple opportunities to learn and grow.,0,0,1,2,4,4.43 / 88.57
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,2,4,4.43 / 88.57
Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,2,5,4.71 / 94.29
The teachers illustrate the concepts through examples and applications.,0,0,1,2,4,4.43 / 88.57
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,4,3,4.43 / 88.57
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,3,4,4.57 / 91.43
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,4,3,4.43 / 88.57
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,2,4,4.43 / 88.57
Teachers encourage you to participate in extracurricular activities.,1,0,0,3,3,4.00 / 80.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,3,4,4.57 / 91.43
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,0,6,0,3.71 / 74.29
The overall quality of the teaching-learning process in your institute is very good.,0,0,0,4,3,4.43 / 88.57
How much of the syllabus was covered in the class?,0,1,3,1,2,3.57 / 71.43
How well did the teachers prepare for the classes?,0,0,3,3,1,3.71 / 74.29
How well were the teachers able to communicate?,0,2,2,2,1,3.29 / 65.71
The teachers approach to teaching can best be described as,0,2,4,1,0,2.86 / 57.14
Fairness of the internal evaluation process by the teachers.,0,3,1,1,2,3.29 / 65.71
Was your performance in assignments discussed with you?,1,2,2,2,0,2.71 / 54.29
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,3,0,2,2,3.43 / 68.57
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,2,3,2,0,3.00 / 60.00
The institution provides multiple opportunities to learn and grow.,0,2,2,3,0,3.14 / 62.86
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,2,1,1,3.00 / 60.00
Your mentor does a necessary follow-up with an assigned task to you.,0,1,4,0,2,3.43 / 68.57
The teachers illustrate the concepts through examples and applications.,0,3,1,1,2,3.29 / 65.71
The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,1,2,1,2.86 / 57.14
Teachers are able to identify your weaknesses and help you to overcome them.,1,1,2,2,1,3.14 / 62.86
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,6,1,0,3.14 / 62.86
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,3,1,2,1,3.14 / 62.86
Teachers encourage you to participate in extracurricular activities.,0,0,4,1,2,3.71 / 74.29
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,2,2,2,1,3.29 / 65.71
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,0,4,2,0,3.00 / 60.00
The overall quality of the teaching-learning process in your institute is very good.,0,1,3,2,1,3.43 / 68.57
How much of the syllabus was covered in the class?,1,4,7,9,6,3.56 / 71.11
How well did the teachers prepare for the classes?,1,5,5,10,6,3.56 / 71.11
How well were the teachers able to communicate?,1,7,3,6,10,3.63 / 72.59
The teachers approach to teaching can best be described as,2,5,11,3,6,3.22 / 64.44
Fairness of the internal evaluation process by the teachers.,3,4,4,11,5,3.41 / 68.15
Was your performance in assignments discussed with you?,1,7,3,9,7,3.52 / 70.37
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,4,6,9,6,3.48 / 69.63
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,7,2,9,7,3.44 / 68.89
The institution provides multiple opportunities to learn and grow.,4,2,7,5,9,3.48 / 69.63
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",6,3,6,8,4,3.04 / 60.74
Your mentor does a necessary follow-up with an assigned task to you.,0,6,9,8,4,3.37 / 67.41
The teachers illustrate the concepts through examples and applications.,2,4,10,9,2,3.19 / 63.70
The teachers identify your strengths and encourage you to provide the proper level of challenges.,4,3,5,7,8,3.44 / 68.89
Teachers are able to identify your weaknesses and help you to overcome them.,5,8,3,6,5,2.93 / 58.52
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",1,7,6,7,6,3.37 / 67.41
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",2,6,9,5,5,3.19 / 63.70
Teachers encourage you to participate in extracurricular activities.,4,4,6,10,3,3.15 / 62.96
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",2,4,11,6,4,3.22 / 64.44
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,4,7,10,5,3.52 / 70.37
The overall quality of the teaching-learning process in your institute is very good.,1,4,10,8,4,3.37 / 67.41
How much of the syllabus was covered in the class?,0,2,6,5,4,3.65 / 72.94
How well did the teachers prepare for the classes?,0,0,3,5,9,4.35 / 87.06
How well were the teachers able to communicate?,0,0,2,5,10,4.47 / 89.41
The teachers approach to teaching can best be described as,0,1,5,5,6,3.94 / 78.82
Fairness of the internal evaluation process by the teachers.,0,0,2,4,11,4.53 / 90.59
Was your performance in assignments discussed with you?,0,0,2,2,13,4.65 / 92.94
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,3,3,11,4.47 / 89.41
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,2,7,8,4.35 / 87.06
The institution provides multiple opportunities to learn and grow.,0,0,5,9,3,3.88 / 77.65
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,2,1,1,13,4.47 / 89.41
Your mentor does a necessary follow-up with an assigned task to you.,0,2,4,3,8,4.00 / 80.00
The teachers illustrate the concepts through examples and applications.,0,2,5,3,7,3.88 / 77.65
The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,0,4,6,6,3.94 / 78.82
Teachers are able to identify your weaknesses and help you to overcome them.,1,1,4,1,10,4.06 / 81.18
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,11,3,3.94 / 78.82
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,3,2,3,9,4.06 / 81.18
Teachers encourage you to participate in extracurricular activities.,0,0,4,8,5,4.06 / 81.18
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,3,2,4,8,4.00 / 80.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,2,3,9,3,3.76 / 75.29
The overall quality of the teaching-learning process in your institute is very good.,0,1,4,7,5,3.94 / 78.82
How much of the syllabus was covered in the class?,2,5,8,8,16,3.79 / 75.90
How well did the teachers prepare for the classes?,0,2,10,21,6,3.79 / 75.90
How well were the teachers able to communicate?,1,2,6,9,21,4.21 / 84.10
The teachers approach to teaching can best be described as,1,2,11,14,11,3.82 / 76.41
Fairness of the internal evaluation process by the teachers.,1,6,8,8,16,3.82 / 76.41
Was your performance in assignments discussed with you?,1,7,8,9,14,3.72 / 74.36
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",2,5,11,6,15,3.69 / 73.85
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",4,6,6,12,11,3.51 / 70.26
The institution provides multiple opportunities to learn and grow.,2,5,9,11,12,3.67 / 73.33
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,6,7,11,15,3.90 / 77.95
Your mentor does a necessary follow-up with an assigned task to you.,4,7,5,5,18,3.67 / 73.33
The teachers illustrate the concepts through examples and applications.,3,5,4,10,17,3.85 / 76.92
The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,4,5,15,13,3.85 / 76.92
Teachers are able to identify your weaknesses and help you to overcome them.,3,3,8,13,12,3.72 / 74.36
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",3,4,9,15,8,3.54 / 70.77
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",2,7,11,11,8,3.41 / 68.21
Teachers encourage you to participate in extracurricular activities.,0,5,13,11,10,3.67 / 73.33
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,4,8,14,13,3.92 / 78.46
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",7,3,13,5,11,3.26 / 65.13
The overall quality of the teaching-learning process in your institute is very good.,1,5,4,14,15,3.95 / 78.97
How much of the syllabus was covered in the class?,0,0,3,0,1,3.50 / 70.00
How well did the teachers prepare for the classes?,0,0,0,3,1,4.25 / 85.00
How well were the teachers able to communicate?,0,0,0,3,1,4.25 / 85.00
The teachers approach to teaching can best be described as,0,0,3,0,1,3.50 / 70.00
Fairness of the internal evaluation process by the teachers.,0,0,1,2,1,4.00 / 80.00
Was your performance in assignments discussed with you?,0,0,2,0,2,4.00 / 80.00
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,2,1,1,3.75 / 75.00
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,1,1,1,3.50 / 70.00
The institution provides multiple opportunities to learn and grow.,0,0,0,3,1,4.25 / 85.00
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,1,2,4.25 / 85.00
Your mentor does a necessary follow-up with an assigned task to you.,3,0,0,0,1,2.00 / 40.00
The teachers illustrate the concepts through examples and applications.,0,0,0,1,3,4.75 / 95.00
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,3,0,1,3.50 / 70.00
Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,1,3,4.75 / 95.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,4,0,4.00 / 80.00
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,0,2,1,3.75 / 75.00
Teachers encourage you to participate in extracurricular activities.,0,0,0,3,1,4.25 / 85.00
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,2,1,4.00 / 80.00
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,0,2,0,1,3.00 / 60.00
The overall quality of the teaching-learning process in your institute is very good.,0,1,0,2,1,3.75 / 75.00
How much of the syllabus was covered in the class?,0,0,0,3,6,4.67 / 93.33
How well did the teachers prepare for the classes?,0,0,0,3,6,4.67 / 93.33
How well were the teachers able to communicate?,0,0,0,0,9,5.00 / 100.00
The teachers approach to teaching can best be described as,0,0,0,2,7,4.78 / 95.56
Fairness of the internal evaluation process by the teachers.,0,0,1,2,6,4.56 / 91.11
Was your performance in assignments discussed with you?,0,0,1,2,6,4.56 / 91.11
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,1,3,0,4,3.56 / 71.11
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,3,2,4,4.11 / 82.22
The institution provides multiple opportunities to learn and grow.,0,0,1,1,7,4.67 / 93.33
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,2,6,4.44 / 88.89
Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,1,7,4.67 / 93.33
The teachers illustrate the concepts through examples and applications.,0,0,0,1,8,4.89 / 97.78
The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,1,7,4.56 / 91.11
Teachers are able to identify your weaknesses and help you to overcome them.,1,1,0,2,5,4.00 / 80.00
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,2,7,4.78 / 95.56
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,0,0,2,6,4.33 / 86.67
Teachers encourage you to participate in extracurricular activities.,0,0,0,3,6,4.67 / 93.33
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,2,6,4.56 / 91.11
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,3,5,4.44 / 88.89
The overall quality of the teaching-learning process in your institute is very good.,0,0,1,2,6,4.56 / 91.11
